"title","content","date","variant","images","verified","author","rating","product","url"
"M31 was worst phone with camera quality.. front is 8 MP and back 16 MP","I purchased this phone by seeing 64 MP for camera usage but M31 was the worst phone with camera quality.. Front camera is 8 and back camera was 16 MP not more that that.. there is no return option only replacement(Good game was playing by samsung &Amazon) please dont buy this mobile and dont waste your money... Heating problem while charging.. etc  i am really  very frustrated with this phone quality.. i lost my money by buying this phone..😔😔😪","10 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Rajpal","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"Wast phone","Phone is very slow my opinion is west ur money","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","G Yella Reddy","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"A fab phone at this price!","1. First of all let me tell you  that previously I have used Moto G2, Moto G4 Play & Lenovo K8 Note. 2. I'm writing this review after 3 days of usage, using the 128GB version. 3. PROS. (a) A great delivery experience by Amazon, within 24hr delivery, the phone is sleek & stylish to look at. (b) Battery backup(6000MAh) is just awesome.  For an average user like me, it lasted for two days in a single full charge. (c) Very very smooth processor, as compared to other phones in this price range like Oppo and Mi. Works like a flash. (d) Brand value of Samsung at this price with the latest specs. (e) With quad camera & a 64MP main camera, pretty amazing photos are clicked. The low light camera is particularly helpful. (f) If you are a fan of AMOLED display, this is the phone for you. (g) No problem of overheating while usage or charging. 4. CONS. (a) With a 15W charger, it is charging slow taking almost 2.5hrs for a full charge, especially when compared to OPPO VOOC charger. (b) Not a very rugged phone, you might need to use a back cover from Day 1. 5. I'm satisfied with the phone & the experience it provides. Overall, I would totally recommend you to go for Samsung Galaxy M31, as at this price range, with the specs  & brand value of Samsung, this is the best buy. 👍","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Arsalan Khairul Bashar","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"Faulty selfie camera, video playback lagging no money back","I purchased this as soon as it was launched and its one of the worst decision that i made. Selfie camera is blurry and clicks yellow pictures, phone lags in playback video, all of a sudden, video will disappear and only sound continues to play, back camera isn't that great as hyped, its very low in quality, body of the phone is more like a plastic and very low quality material, overall very dis-satisfied with the product. Amazon has agreed post diagnosis saying its a faulty piece  but does not give refund","09 Mar 2020","Colour: Black Style name: 6GB RAM, 64GB Storage","","Yes","Bushra Sultan","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"My Real Review - M31 is Average","Hi I am using M31 Since 6/3/2020. Those who are interested to buy this set, please follow my real Review before buying M31. 1) Phone Display is excellent. It is a good Video viewing experience. 2) In Day light, Rear Camera photos are good but sometimes its colour is yellowish which is very bad effect in image. Even in Night light or low light Selfie is not clear, you have to use Night Mode but Outdoor Selfie is excellent. It has 8x Digital Zoom which is extra benefit. In this price Zoom Quality is not bad. 3) 4K Video shot in both Real and Front Cameras, the Video Qualities are amazing. 4) Fingerprint Scanner is good but Face unlock is Average. 5) Battery Optimization is not good. At present, it takes around 3 hours to complete charge from 6 to 100%, which was previously 2.5 hrs. I do not use any high graphic App. 6) It has no support of Secure Folder and Knox. I think that Samsung is required to update in section of Camera, Battery and to add Secure Folder App to compete other Chinese brand Like Xiaomi, Realme, Poco etc. Thanks.","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 64GB Storage","","Yes","R. Roy","4.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"QUALITY IS NOT SATISFIED","Not satisfied with the quality Display quality is no adequate Body is made of plastic like material I was using MI like 6 plus pro then 7 plus pro For a change I have purchased this product, the quality is not up to the mark when comparing to my old redmi note series The sound quality is very worst. While making call with full volume it is not clear from the day of purchase. I am planning to go back to MI again Worst phone pls don't buy Not value for money","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Amazon Customer","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"Waste mobile waste online seller","One of worst mobile and one of the worst brand. Better to purchase any other brand except Samsung. 1. Heating issue 2. Second sim works on 3g. 3. Even its 6Gb ram works like 2gb ram phone. When I called amazon customer care they said I have to go to service center for this and they are telling to check through app. Its a f***ing phone please please please don't waste your money. And this is my last ever purchase from amazon.","11 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Vinayaka","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Little overpriced. Not very ergonomic. Bad sound, defective piece.","Cons: Button position (power& volume) too high Fingerprint reader too high Heats up a lot. Though the battery capacity is high, battery drains fast. A lot of bloatware. Removed loads of stuff, tons still left. A full charge with original charger and original cable (which is quite short) from 0-100 took 2 hours & 28 minutes Speaker volume low. The receiver causes voice drop in phonecalls. Pros: Feels lightweight Nice display. The camera is decent. Update 1: Drained the battery to 0% and switched it off and charged to 100% and the battery seems to hold charge longer. Update 2: Outgoing voice gets cut for a few seconds at a time consistently. Going to request a replacement. Update 3: Returned my M31, found the voice unclear and faced voice drop. When I put my SIM card into my old Moto G5S+ the recipient immediately recognizes the much better voice quality. I have to put the call on 100% volume to be able to hear at least a bit.","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","JoeKidd","3.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Performance issue","I bought this mobile in last Friday , it is not working from 6th day.  Unable to receive calls and if unexpectedly I received a call not getting  sound and I can't here the opposite person voice or my voice to them. When I try to call someone automatically network is getting disconnected and it's reconnecting automatically in few minutes. I expect this might be  software issue , I have gone through lot of reviews ,maximum number of people who buyed this mobile facing this issue. Unable to replace the mobile also as it is not showing any option to me.","11 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Venkat","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Nice phone","Nice phone in this price range","27 May 2020","Colour: Blue Style name: 6GB RAM, 64GB Storage","","Yes","Sanjeev Dangi","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Heat and charging and camera issue on M31","Worst mobile was I got , Samsung m31 taking more time for charging 100% , it's almost 4 hours for charging , and after that 20 hours battery I'll train 0% its waste of time compare to other fast charging mobile , and camera worst","18 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","mohamed bilal","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"I PURCHASE 6GB 128GB","UNTILL I AM USING REDMI NOTE 7 PRO I WANT TO PURCHASE POCO X2 BUT BECAUSE OF IS FLASH SALE IT OUT OF STOCK I AM USING SAM M31 FROM LAST 5 DAYS OVERALL MY IMPRESSION IS ITS 6000MH BATTERY 1  SUPER AMOLED DISPLAY AT THIS PRICE 2  64 MP CAMERA 3  PHONES PERFORMANCE IS VERY SLOW 4  I CAN NOT SINE ANY DRAMATIC CHANDE IN CAMERA QUALITY IN THIS PHONE 5  SAMSUNG HAS TO WORK IN OPTEMISSING SOFTWARE TO INCREASE THE PHONES PERFORMANCE 6  REDMI NOTE 7 PRO BOOTS FASTER THAN SAM M31","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Deepak Hadke","3.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Genuine review after usage","Over all am not that super satisfied, but excellent one & not made in chn.. Pros # Good LiveFocus camera, Shallow DoF is excellent # sAmoled Display is great # Good features # You will love using the phone. Cons # Slow-motion video sucks goes dark # Macro lens has lot of distortion # Charging sucks needs 2.5hrs to get full charge, 6000mah is good but discharges 1.5day for normal usage. # Slight heat while charging.. # 9 out of 10 times doesn't recognise your face during low light, figer print reader is also slippary # Poor mobile & Wifi Signal scanning # Phone is slippary in hand use protective case always. Over all I didn't get the feel I expected for this price range..","15 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Jayachandra Oleti","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"This is a duffer phone & not a smartphone","I have been using this for 15-20 days now and I am even more disappointed! I have been using POCO F1 since the last 1.5 years and I regret to have chosen to move back to Samsung! I so miss my POCO First the pros 1. The brand name - if you think it is one! 2. The display - It's super AMOLED and it's brilliant 3. The rear camera - clicks good enough photos 4. Build - seems decent Cons: 1. The UI - It's a big duffer. Samsung's smart switch was a pathetic attempt to move the contacts etc. Had I not cross checked, I would have been crying 2. The contact list - It seems like using an age old NoKia device today 3. Virtual Buttons - They aren't customizable 😭. What kinda innovation is this 4. Clear all apps - it kills the current app too😬. I killed my game many times while trying to fasten up this idiot device 5. Gaming - The phone slows down in 10-15 minutes. It's anyways a slow device 6. Front camera - it no better than an age old 2MP camera. The image processing is idiotic 7. Notifications - This idiot forgets to send email notifications. I have to manually keep checking my emails😭. Believe me, I have tried all settings 8. Notification Badges - Does not display any badges on the apps 😂🤣. You have to pull down the notification bar and keep checking 9. Dual Apps: This idiot does not support dual apps. Only messengers are supported. I have two accounts on amazon and amazon is not supported in dual apps. Similarly I have two accounts to manage on Linkedin. The more I use this idiot device, the more it frustrates me Anyone who recommends Samsung can kindly stay away from me now What a waste of Money this has been","11 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Sachin Sehgal","2.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"not up to mark, waste of money","1) claims 21 hour of internet usage timing, i started using it after 100charged  but it barely last for 24 hour with 5 hour of heavy usage and even turned mobile in bettery saving mode.  so what is the point of carry that much heavy 191gm device all around. 2) phone heats a lot while its charging ,like you can't even touch it at some point. 3)internet bandwith speed in mobile as well as in wifi is not good. i had a samsung galaxy note3 where i get fast internet with same network. wanted to return this device but they had a very strict policy so you cannot return, you can only replace it.  even i am trying it for replacement it wont let me as i have to download balencco app and this app never say your phone is not working fine. i could have spend my money in buying other phone. bought on very first minute of release but al excitment turned down after seeing actual performance.","10 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","ravi patel","2.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"It is a real Monster","Received it on time within 24 hours thumps up to amazon. Now Product. Done all the settings. I am using samsung after a long gap of 8-10 years. After Samsung Grand I had stopped using. So setting done now data transfer Samsung's smart switch option is fantastic. Everything I wanted to transfer got it. No problem at all .Now SIM transferred. Done OK it is dual 4G VOLTE and above all it is having separate slot for micro sd card. Effortless working. Now Camera. It has got lot of options. All I have not yet tried but for sure I have checked the quality of the photograph and the night mode is superb. What else you want to know rest of the things are written in detail and is true. Working very fine. Proud to won it. Nice Product. Samsung should keep competing iPhone","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Sujit","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"Over heat Processor is very basic processor","What is this samsung, i didn't expect from you. plastic body is ok we can use cover. Corning gorella glass 3 is ok we can use tempered protection. Even 3 hr charging time is ok we can charge during night. But Overheating how can we deal with them ! this price range other companies providing super fast , cool processor like snapdragon 730G. & What you do fooling customers.","13 Mar 2020","Colour: Black Style name: 6GB RAM, 64GB Storage","","Yes","Anuradha","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Don't buy","Cons: 1. RAM. Claims to be 6GB, whereas my 2year old phone with 4GB RAM has much smoother display 2. Battery Charging. Claims 15W fast charging. Takes more than 2 hours to charge the phone. Pros: 1. Good cameras 2. Perfect screen size I bought it as a great deal from Samsung, but it is a BIG dissappointment. And they say it cannot be returned. Total waste of money for me. Redmi Note pro 8 is much better than this at same price.","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","JPS Malhi","2.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Got a dead phone.","i am a Big fan of Samsung products, but today i got a dead phone, first i thought it don't have charging so try to charge the phone but no response,i am really really disappointed today. but thanks to amazon the responded quickly and ordered a replacement. but now i am worried about phone performance now. how i am going to handle if future same problem arises. before buy think again.","12 Mar 2020","Colour: Blue Style name: 6GB RAM, 64GB Storage","","Yes","Akash Bondugula","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Impressive phone to keep all key specs at an economical price🤩","Delivery was fast, packing was good, phone started quite unusual that applications were not even downloading on wifi, later after a couple of restarts it's good now. So thumps up , happy so far .","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 64GB Storage","","Yes","proneet srivastava","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Net work speed very slow also charging not like fast charging","Very poor performance.. camera is ok not bad . But very slow net speed .. opening app time is relatively fast but after internet is very slow .... my old mobile Samsung on max is much faster performance for loading web page than Samsung m31 .. this phone taking much more time to open any web site ... remaining everything is ok .. Fast changing is not far like they said .. 30 mins charging it charging 20% but my old Samsung is 30% charged at same time . I have found this two major drawback.","13 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Veeramani","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"About phone camera and product","First time met very bad experience from Samsung phone, camera quality is very poor. Front facing camera not good at all. Not comfortable with 6000mahbattery life. Amazon.india  just destroyed their Goodwill by selling this product. I purchased this phone for my friend. And now he is angry on me.... Dear customer please avoid to buy this product.","12 Mar 2020","Colour: Blue Style name: 6GB RAM, 64GB Storage","","Yes","Akash Joseph","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Ok product for the price range","I found the phone to be mediocre in performance. Pros: 1. Display: Trust me it’s amazing! You will love the vibrant colours. Images and videos look great in the Amoled screen. 2. Battery: 1.5 days backup even after heavy usage. 3. Camera: Good, but not excellent. Cons: 1. Build: All plastic build, this might have helped in managing the weight, but I guess the durability is compromised. 2. Night mode camera: Useless, all grainy and inconsistent photos. Other phones in this price range are way better. 3. Zoom camera: Photos are grainy and lacks clarity. 4. Face unlock: Mostly doesn’t work even after adding alternate looks. Verdict: You can buy this if you don’t like the Skins of Chinese brands, One UI 2.0 is heavy but better. Hardware wise some Chinese phones are better.","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Tech Dude","3.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Don't buy seriously","Worst experience ever, camera quality not better 5out of 2, battery down very fast, max 3 hours taken charging 100% ,sometime WhatsApp hangups.108 gp free storage but mobile heating high, fingerprints only 3 finger available,  not better fingerprints,  I am the first buyer before launching. Over all don't buy this m 31. No extra protection, no additional option,  very simple mobile,not worthiness of money,","13 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Thomas Gowda R","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"front cemera","use front cem iam not happy","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Bikash nayak","3.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Good but not perfect...","Display quality is good. But one thing which I don't like about the camera is that we can't use flash light when we take shots with 64 MP lens. Low light photographs are also not upto the mark. Rest everything is fine.","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Vikas","4.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"Best Budget phone for Avg Users","It's one of the good looking phone with stunning display & mammoth battery. Pros : 1. One of the best display in the segment.( You'll feel it when you hold the phone for first time itself ) 2. Great battery life (6000 mAH ) with good optimisation. 3. SAR rating - lowest one 4.  Well weight balanced ( considering big mammoth battery ) Cons : 1. Samsung should have provided a case along with this ( hard to buy a case at initial days after launch _ phone is slippery and finger print & dust magnet ) 2. Camera is not so great as expected ( 64 MP)_ wide angle shots are lacking of details _ macro mode is also not great 3. Not so great processor Who can buy : people who don't do heavy gaming & not camera oriented. Who looking for great battery & Samsung branding.","10 Mar 2020","Colour: Black Style name: 6GB RAM, 64GB Storage","","Yes","Manoj Kumar","3.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Review after a week of usage","I ordered in first sale after comparing all the phones at this range and i am satisfied with this phone but want to discuss some pros and cons Pros: 1. Back Camera is good ( i compared it with oneplus 7 and samsung is good). No issues with picture quality with zoom also. 2. Its a powerhouse with High Battery Life (For normal usage we can even use phone for 2 days) 3. No lag or hanging problem till now due to 6Gb RAM Cons: 1. Front Camera is not as good as expected 2. Finger Print sensor is back mounted while all other brands offering in screen fingerprint sensors at this range. ( disappointed at this and THIS IS MAIN REASON FOR 4 ⭐️) 3. Handset configured like conplex android even after having many in built apps but no app for lock apps and seems to be complex","10 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Sahil Vasudev","4.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Good phone in this price","The camera pictures hv a yellow tinge which makes orange look like yellow and red look like orange. I returned the first phone thinking it might be a defective piece.but the second phone also had the same problem. I had almost returned the second phone also but then I figured out that the problem is not camera. Display setting had color correction mode on by default and it gave a yellow tinge to anything you see on phone screen If you face the same problem pl go to your display setting or search color correction and put it off. The phone wl return to normal colors I am using it for last 3 days and quite satisfied with the phone. Battery lasted 2 days but no games,music,videos. I am hoping battery performance wl improve in few days Camera pictures are good Lots of bloatware come with Samsung so had to uninstall/ disable them manually","09 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Urmil","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Worst mobile..Don't buy..Go for  redmi.","Very bad mobile. Heating and hanging problem. Amazon not refunding even having mobile problem. Don't buy this mobile. Go for Redmi mobile. Camera  quality is  worst. Many thing's not  supported. Anyone want to take this mobile please let me know. Reduce some amount. Buy before 7 days. Only  battery is good other is worst. Samsung  must quit in making mobile.","12 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Ramesh B.","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Good phone with slightly disappointing issues.","Cons: 1. No notifications light. 2. Large icons. 3. No preinstalled app lock. You can install s secure to achieve that but lock symbols will be there on each locked app. 4. Ringtone volume not so loud. 5. No back cover provided. 6. Camera is not that great as expected with 64mp. Pros: 1. Screen quality 2. Ram management 3. Smooth performance 4. Battery performance. After 12 hrs of usage, still having 60 % remaining battery (5 hours screen on time). 5. Looks are pretty good. 6. Samsung brand.","09 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Naushad Khan","4.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Worst Mobile... Don't waste money","First... I would like to express my experience of this mobile is tooooooo worst.... It's never performed like 6GB Ram Mobile.... It's working like 512kb ram ram mobile. And another great backdrop is it's bluetooth... It's connectivity does not meets at atleast basic phone... And another thing is it's speaker...This one also very poor.... Batter charging and backup also we can't compare with another brands in the present market... Because its took worst... I already requested to Amazon for return this phone, but, they smoothly refuesed my request as there is no chance to return as per their terms. Finally, my dear all who want to buy this product i strongly recommend that don't buy this mobile and don't waste your money...","13 Mar 2020","Colour: Blue Style name: 6GB RAM, 128GB Storage","","Yes","Niranjan Krishna Mucherla","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"BAD CAMARA, VERY SLOW CHARGING, NOT IMPRESSIVE  DESIGN. NOT RECOMMENDED.","I was using Redmi not 5 pro prior to this. I feel that phone was quite better than  this. Camara- though it mentions 64 MP camara but it failed to impress me. When we click using front camara it takes 2-3 seconds hold time before clicking  the picture. No flash for front camara. During operation  I didn't  find phone to be user friendly The most disappointing thing is time it takes for charging. They claim that it is super fast charging  but it is even slower than my note 5 pro. In 1 hr it charges something  around  25-30%...... Design- Not at all attractive.. Doesn't  feel like new phone. Not at all recommend.  You may go go for Mi for realme.. I trusted Samsung  but eventually  it didn't  fulfilled  my expectations.","11 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Dhananjay","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","I Bought Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage) really awesome mobile works quickly fast and secure, fingerprint reader fast. Mid range mobile with highly configuration, battery life no issues 2 days i am using even after internet browse and playing online games. Camera auality my review night camera photos i am not happy but in day time taken pictures really good. other than night camera pictures i don't face any issues till now. I recommended my my friends, Company Colleagues and family members to buy this product. Some of them have bought this product on my words they are really happy with this Samsung Galaxy M31 mobile. Thank you so much Samsung and team members who worked on this product for mid range people you guys are doing awesome.","12 Jun 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","KIRAN","5.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"Camara quality is too bad","Camara is too bad. Sound clarity is not at all good ... though it looks like a premium phone ,but when you started using it makes you feel that you bought a cheap quality product. Gets frequently stuck and restarts for no reason.","10 Mar 2020","Colour: Black Style name: 6GB RAM, 128GB Storage","","Yes","Rajender","1.0","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/product-reviews/B07HGN617M/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
